index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
20,0x670244012E14E807170b79D28038BEe6608dbDc9,0x320aca4ffcd52fbd,"[0x6132d6f8add32676e5a1438e9e52c36f76416d088fdea7ca652623f45e732c39,0x3858ef46bf02c548320c382ab1f8c13541cae6a20acc087998f13b9f8bcd539a,0xf395d8170ea8daf8df4d7f561b5ee972dac32a4a2f4822587206584a77158bd1,0xe22203a7f7c6ec0a78979bcb3324f8770c64b1d149b5e65bff8aeea18cad5684,0xa9757addc8fb025f9f25733b45ee69dc9e16b4f8c5731f9aa13e7de964880ea3,0x9191e5c67f1d4b35aa985db49d61824518c9abb261eff3633e56c754022961b5,0xbec1a548b7d591b2071e16ff27e08477239d24ac0aca79254f164b37bd658f44,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",3.6059 LDO
21,0xc25d35024Dd497D3825115828994Bb08D12a3aa7,0x321a568969b51912,"[0xdbf9c2ddf950c211e0237a58faf55e8bdf90bf34ffe0a9b8697fc3c6de0385b4,0x4c2862eee0e9915911b3dc0267bcf750eefd351f95eba50cddd0b39cb192fcd8,0x720a120277df85df237c17b6dca5621691b5ac83b07548d6540c1124a5e1dcb9,0x242574788d0b6ae84fcd6c6093450990769a01dcd28de763c511f3c43429c932,0x3bf61d88d75f47234a4b41708c9c5d5cdd90914a545d7ff9c228055bfdb9125b,0x97c62e89908dcbc680b8550695a3da0dade1bf7573f1f449ea758f09cf7b95d6,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",3.6103 LDO
22,0x8758630EEc2B1c2fA18c3Dd71C9dB89F80f4d0D7,0x33ddaa25160c34ea,"[0x4e8afa2168f4ff1646f31d83ee770c1fe3b63a8b7bc75c92fa7be0f90ff70307,0x95f12707c3a2c8e27d2b3f5e0646f14057a756646c22d699853fc0c9f00b83de,0xf1b5cc94b007f543498c049f6794de3cc605e73f7944a92e7ca16bbc5530a4e4,0xcfb8911f550e2b469df3fa0d38a24fd87125c6baab0f05cff236f657047d0b6f,0x770faf650df4bee57dc3adc0b7d7e2e07042d0df73b2b8a5e8c8d248e2d39def,0x76367249c03b736e34126d74b97c1c7e46d4e683455592c7bd35dadfdc61aeab,0xbec1a548b7d591b2071e16ff27e08477239d24ac0aca79254f164b37bd658f44,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",3.7373 LDO
23,0xd5f30ef594d0b46e53f097Cf0Aa6a870B0f8cC08,0x37192323657c4448,"[0x0b72b039f8013b3262ded4123662aed920c5e18908e90edb2b4ac7deea1cf99a,0x8f30930160ccbb9d74825f607e569d78babdec499a6f517276caab4d70a1fd37,0x5bac69f86575953174a020028874e1613b85159248d12045dac569a1fd99a964,0xfaed3a3710eddc665d4f97440bda21f047520373d1933eb759810e6b31758b4e,0x50051616399aeff924d11df809e94fb86c2dfb7f01f2815ca4d2d3fd34dac939,0xdd82bdb42db7301ecee5d184fbffbdcd7d1dc64f43fe618eeba466c1356c4fd2,0x0282da413887f1e1421c5a0c8108e3b0d213b13dafe9d9f7bc44068f775f1c79,0xb3d498c9c35abb1acf28ddfbac05789d42d34bba8975c1f2779ef40063274dd0,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",3.9702 LDO
24,0x817E17a099Db39990F1AAD0288f9ea262Cb0ac9a,0x3c617b0cc295c69f,"[0xbad0a9eb97473207a89947259d6f5e514603ba25411430df58ee23be387dca7b,0x843858cd9b6f328e4c7f986c00a1b2d30c0190d0e9827a65d2f6bcc1286fb30a,0x96bf23bd94551a6c6a4a68bf2271958574d15eb7a51091904d254c3ae9ece7e0,0xc188b28e168b323c48ae4b53b5be2f758b30f6e4afcb47043dc98b1240eba465,0x525b2181c27974cc765c862f78398f8d05c4df6174a6064b73e28ed15012826c,0xb50bec83e84eddb39d57aef6224c5ea1234035c726da3f4b9d3ffdf9ffeff61e,0xbd70e83948a978ab5dce87f0e898792a192060715b84609e2dd37a18bd140afc,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",4.3509 LDO
25,0x9EBD589923B0164A152f3f1CAd1472c8E6746efA,0x3cfe9215177a7bfd,"[0x9524baf4d3729f94ca73e187f5b99aaad200c068b0912ae2d193351943b1b414,0x8ac30aca0e3fb1aedaaa0eff5dd1c2d0326d70672eaacbb1241c7d7dd9d18e18,0x1eef105c85d86b1fa4859fa5c07d5c5cd70f9d993eb21ff86d3d7158a135cb72,0xee6650493dacfa0ee4f8e167bb032c16a049c06cd88b2ccc5ad3b9eead149438,0xe88fde5af2105ca89a7c9d307067da09af3bcf08c55b8cd40bf36f4b867700de,0x2d9c12e17641e88fdd69035049ce355f5346cd6195a7ccc7cb897902b1c0af57,0xbd70e83948a978ab5dce87f0e898792a192060715b84609e2dd37a18bd140afc,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",4.3951 LDO
26,0x5B2b63AB93b17A263E655023477FE30C3F6c4482,0x3de8751e6bdc38fe,"[0xadf32b18ea5f4a0b433c7cf95a25ec2f6fc3a07f230d5eeb125317fb41738ff4,0x909079b0c5280a7b7544955f6b5818ee8e09cdf6982ee7eb98d93a584fcebc78,0x4333c98d4ae41087f7f63ff252e5aa4440f3b2586e3d6c78b06ccb9da6d19479,0xc571d7491eaa0597c10f38805f5e8ba238963e97522131f8c9ef36702fa300cc,0xc4be2c284ad71a588a053179917a73379acb8f79c9717f51b4ff3db423e71bda,0xb50bec83e84eddb39d57aef6224c5ea1234035c726da3f4b9d3ffdf9ffeff61e,0xbd70e83948a978ab5dce87f0e898792a192060715b84609e2dd37a18bd140afc,0x641c6e7f9b34ccf8fab4e53c67fd4ff4a5af7e00cfebd304c4aa129b48ffe8e0,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",4.4609 LDO
27,0xBCf3bE746DcCe9C9b1E87D7a03ff199F9aC7eB9E,0x4bce9e5238a8c095,"[0xef8cee77e197527563ae6359834ec392821c4aa26183bf52443bea8666c1d69f,0x0ba2ebe00b26b91ec50a797d4b35da93b7b523af00ac50dd01aafcd11464ff8d,0xa881e614abad36893714365cea0057618c5824e2848c8b458ea6f24abceb60da,0xdeeec9a2a01b8528bd032311267fb7893ac7740e2c9ef4aa9e73586258bfcaeb,0x9ebaa50a9978871a1a40b45eca1d2008a2bfe8467bf4863f915566e729ba63dc,0x1e41e50a157a90231f69bcbf5f855d8adab6dc8a1f26a761e72152ffc1293a4f,0x0dd60282aee209cc35ceb8139cdacee5b94eaedeed4c919bc37d1bd99083f2af,0x8d9eeb85788c6e8a24ee85f33d945ce777c062c03aa08b724b1f695c86eeb363,0x2e171a10ed7d2dbc7d4310b74d7f8fdc99495c15af8d4aae2220ef3ce7da84dc]",5.4625 LDO
28,0x75559167905e8A1471c42d22B8CD1892E8dF5634,0x4cd17398a885931d,"[0x843495d4ea935863a38a3ef9093fb313b70bd03dcf938460c55053b7c3de25ea,0x8290ff21efae91a68a0b25304cd8064ecdfe83a16694e63013c6900fc82ea2eb,0xd111dea7ff115e76c961ea465b032716a609c51b545e720310b10d9959d49128,0xa6aa33bff9e8606a98b1d4a67b419a02d9137de91a70c72c778f29a8b08d63dd,0x7b0019ded3cca04f21746a3e1cf2214751e292cc7c9d4b366f7ae5c434be5916,0xa1870e1c72ea5de02ab3648adbf2dbbb86a0e753099626c84c23c2cccfee45f5,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",5.5353 LDO
29,0xe4A91ba325C3AcF76Ae2996AFf3F4faf14D6E30b,0x514d4228657adc53,"[0x7025c7bd9f2b3504a696066922165712e37308d7b5e6c8786b1f79eb58162b60,0x93e9032e096802391ca049093edaa6d2f4afd27af00db227ab9ddb7374da9e73,0xb6c4704a65fcfa4b7993937f27c4ee36873e9d81345d9200c72de783e3ba6191,0x2d09fbe97aa0e3ab8abe9ddd2202d7b3101677e2d5494782ece85a5c6ef1ce6a,0x44c68b82139e794e54dcfac6833fb863d7a7397d274e660fbf7001c311a6a2d5,0x0cf5aafad396a831264a2b3b7cdabfd21e2c9610f9c8d382fd2e11006136e5d4,0xf3f0fc2fca76f2f10bc2583f6e0c93e31c4d535c256b06a001141292c6d6be68,0xc1eefc09dee08a990fb1fc67d8000ae1b5fdaba95078e712cb57bbc074d7147b,0x6862dd1d67e32fb30097908c8ad81b260854c9432d759f936dd6865961cf7cf5]",5.8584 LDO
