index (uint256),account (address),amount (uint256),merkleProof (bytes32[]),"LDO airdrop amount
(don't paste on Etherscan)"
20,0x66666600E43c6d9e1a249D29d58639DEdFcD9adE,0x92f1928f348440,"[0x1f94bbecabbdb91b7b972b4a0184311f5c9bbfccf6ae4d823f9c28f24a4fe284,0xa19e14d59b45788b97146340f28f36af4cde482a4d1ab76d241b747359aebb8a,0xad9b899c5614d51fd0d6427dca0cfb0acd45276e8797eaf8c20008377794691d,0xa8928109b40383e6d2118bf0c12ac9af4fa15b8dc8d7293255885da5c8cb2f39,0x020a6879dbdbd0f82ddb83d004730153668f94d0f6a4a09482e14752e4c7b49a,0x0ea64428b4da171f99867ce0ecf640660a8f71ff638cfdf3bfdedb3c510c0ba3,0x9e4832dec37b678184e2d5ec111fbe9b815125a45083c0fda81a8c5c9a707abd,0x730cc32a62543a50ab5b56c2caee89a7dcab839088561bf119fe7bc9ad64c508,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0414 LDO
21,0x00000000DC0E59517a8114348d9130e7d3835832,0xcc39f0e7b32148,"[0x4cd8cd47233542da86362ee606b43082bd1ad9ae525176bd93d9cbdfae0c0fd7,0x38334280b0f0df27002a9282e2817069c0e4b1046f26f80c15e8dcb749075336,0xe0c86e8fd9bd5aff5327076976597fb90ac5e62bb5e1fc922fd70f5d1c274907,0x562e2f637e985d6c89c75aa2a5232f61d16464cd668651084f1008962a7a3559,0xc6f2d9f9dfe5a26f807c9f25005409c27e947ac1fff662816e54b30878d75221,0x559a6dd17bf824072143a2d64c7780a1660d3d515f974a710ace6c15227cc72f,0x3fea9c8ede70cdf0d3fe28c0f9432d81c16df590301ce47cde7591a9051bdac1,0x7bbfb67bd371adc50d784a18d2c1a2a74a21c01866bf955a25610a6bf4c70ba1,0x162d14a519d52626b10b1b7674ffae9194e78de8f2626a0f26de8151baaa494d,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0575 LDO
22,0xb7BF6d8c87494C245fc86823C8FEC8812DcE7A6D,0xd015971b077b28,"[0xe9163d7ffb790e98f54efe98d4165b58b3c97e920554db1ef9cffe1b594afc12,0xab568011d1a9a699232c0ec8f181e87c9559b6cec86ecae2f47423f24cd6bced,0xdf35ac63ab51403c91972577100169ab670941e8875f48c1666140fd7fd24f40,0x04617680809f44ecd717cbdb29ddf315a3c253ed618814369c7d42035def1307,0x9478851c928edd6601ed28d79d361e2a9f48804373ab444ccade35293d467581,0xcb2c8505586c19c5537bc9c82665d2a1aa4e64b2dff79d9eba061c48d53a00b1,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0586 LDO
23,0x28C02269d9b666FDBc88667Ec552E1631ac390B9,0xd02bec9b39c228,"[0xdab0009e5b55c5e00df0f41ad8b594d4c2c77ba6a469bcd84e88c66070fb7f95,0x9f7acfae0db31146ee02618d8478e4a9004577f1dae384b75b86213999b612a8,0x2b72cf80eb19903c546195a0eff55b415e8ae989eb4242da0ff5b8cf574cc8ef,0x1828d59f7bf8dfe2734b7d5db3f53555cec794447a3795165e2fd488033f976a,0x98c11e50913dfa8dd3cde853d054bafa1cfc38b7af82454539e87052a25fc979,0x6edfad579184a0900f4d86e61528707762e1d9413d603fbb85f5ae786ab82387,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0586 LDO
24,0xB17C4cC4691d117E80905518ef5A2AC2A0E14C56,0xf5e31929d991a0,"[0xdabefc72345b6435fead8359e10f4d219df9bb230ea230d6c2fb3d3ea03d2afa,0x9f7acfae0db31146ee02618d8478e4a9004577f1dae384b75b86213999b612a8,0x2b72cf80eb19903c546195a0eff55b415e8ae989eb4242da0ff5b8cf574cc8ef,0x1828d59f7bf8dfe2734b7d5db3f53555cec794447a3795165e2fd488033f976a,0x98c11e50913dfa8dd3cde853d054bafa1cfc38b7af82454539e87052a25fc979,0x6edfad579184a0900f4d86e61528707762e1d9413d603fbb85f5ae786ab82387,0x25c45a7a5a41d8b0af53217d1d73d14fd69455c18d52f56ff3f68e09264ee532,0xc7885def713d262f2331190376df15e8faa0678ec4c72f969bd3ce39086b2227]",0.0692 LDO
25,0x05Aec30b6135a83982594F16E8f6Cb53524baF63,0x12f7d6f8f33f4c0,"[0xc5d2a239c04e6769cdfce66e3eb3c9d934e2f8c48a53c6590113dcae8cd7b47e,0x853e384d4f65c081268fd02c5c005334154be882f0896af6e2bc3412be9fd908,0x00ca8615005f2052cbb1c735e5ebb7ead4ad2514756eca37fc912698e9f9e643,0x334672a3dfca5133412295c629668a2e78db708795975a35438e7bbbea7a92ab,0x822a90a37468e2a881a1a7798155eb59d1a3b095df74fbc0487290ba182a5745,0x0d02ef8234a64798797f4615bf0d4301b4ce5e40ea7af8e041b1839191c9951c,0x6c0f661f7c623f8f129a1de10f92427a86090940c718aebf93aea11745bb2d8b,0xf8b52d9c2af604b7dc89988d1cf40a388e0941e223f80f761e9a2e5bc61d52d6,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0854 LDO
26,0x397d34604F2b2227F4fb0bFEC2e48D4E85C5aA67,0x1373feae7da1830,"[0x76f0f4b06ecba0441c8c220a934f25aa3b6328968dfb5369f8c457ac1d827f05,0xb5acbb849b052e7be5fcfffff55eb05f51057d046b8464cfede8c1bebd49bc78,0x6cf03aa24c3a842538a4d0c0e5643330dd53d01f0a214afe2bac07b7c20e043a,0x047de064f9014427a03e761a3ff834fceb58ec0733d11bd3ddf3d60515928070,0x10815f9f6d56fba87fac6e1c830c9a81f556348d1d70f9aed011da2c95f35d08,0x20152213742eba7d0687b61fcb077a456eed8ae2b9fe278cde2d1c5a4ff98204,0x3abe33567533d0343fc1d4c0761562387788c990015181767b51a9bf478de65e,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0876 LDO
27,0xb89Fa54d5D7BCb78e121f9fA85Cb47242355c68E,0x14b9808ffe5c9d0,"[0x6d3156430696233d495d820407964fb652f186e54a0aab381aa61bd098b10eb2,0x650aa7f817aaeb0b7163423c592acc6339c702dd8338ac37cb3aa61dbf9b4c48,0x2a0fd99c471e74425e6d0894805eb3958b4c5e3cac38256fb361ed909a4ec83d,0x757726df7df6d349cb736ec91ccc142d1c55c1d4368b6055cf1f4cef0a9b79b8,0xae18a7eed386b98783d0e5fcd746825089b0463fd5b6e9de02e10585696c093b,0xe50584b384f99f430a4e48cf582a1258140ecd5c28662fe10b1334648176eb07,0x3abe33567533d0343fc1d4c0761562387788c990015181767b51a9bf478de65e,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0933 LDO
28,0x18A168ffC966f1D4b5EF33D38158F182dd30CCDc,0x162d9c8e91dbde0,"[0x87324ec43ee5c85ee942292951ad3085e3b5229be66e506522f97235bc202341,0x5fe29a44d91268208b81f4c911601020f709b90c74b1d4c35e37944057d638b2,0xa5fda81de67d3188f354538c039842ff4ba4c81c0fc5eeb3dc7cecf648bfc35a,0x0807078c9ef3876cffa07a1487c766d269e17f4feddb2feb2a2e057f34ae49fb,0xbf40739c6b72aea1ff749ab66f55d1a5afe57f79c3d5de88a05294501ef1a1fe,0xf132bd4b6ddc870b592b39df6e7c95db63d9a9fb2c195ddb8389ed76f641abb3,0xed6b21986c75b0ded468aac47636b7ecf4f88b24d13109ecc8017b53ac124468,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.0999 LDO
29,0xF7ca9eDcf403355294585B8f2458CD748B9c2b76,0x1c06a7fcdbf20b0,"[0x73af381132b161228e17d509fe39ef95135ca1cd35ee6d78e0a4d9d85cd2a66d,0x3b6e1d1bf99963b510a326b764ea2a8b72caa30c7302199e73df70e1b01b806e,0x8ba5e89856509d5160675cd927c7e134e547d0672b1188dc6968c4af29867561,0x970abc3207a28910b1fb8354d7f9e43496db2802795ee8af1259da148d514f29,0x10815f9f6d56fba87fac6e1c830c9a81f556348d1d70f9aed011da2c95f35d08,0x20152213742eba7d0687b61fcb077a456eed8ae2b9fe278cde2d1c5a4ff98204,0x3abe33567533d0343fc1d4c0761562387788c990015181767b51a9bf478de65e,0xc31b4fec09edb45ed0e1e72184ad81c8100d5d2b2a17fe0d760b989b467b0ca3,0x549c11bcd34de391a955ad949a3de5b6d1fa2ace3ee999009013597b999db83f,0xe7183f1045e514b796a7daee23472f8edbb12457b13672d2f39225702672452a]",0.1262 LDO
